Hash,Date,Author,Message,IsMerge
42ffec700fe8c3cec95e34ac3ac1ddbb95b51c9e,2023-06-21 14:32:07,Siqi Zhao,Update README.md,False
23b4e2493f1fe2b0b0a053931d728b5d589509cd,2023-06-08 17:03:14,Siqi Zhao,Update README.md,False
4ac30a490b92d9670521da0c25ba1bee207b7bf3,2023-05-26 15:22:20,Siqi Zhao,Update README.md,False
7282798a687b00bc2f555f6b8eb708425ffe6e29,2023-05-12 16:13:35,Siqi Zhao,Update README.md,False
188f4e55fb1170747d0fa2751489d378fa91fc84,2023-05-12 15:45:56,Siqi Zhao,Update renderer-chinese.txt,False
1736f268bfbd06ca854bdd068c263c8c8b7f426f,2023-04-28 20:51:15,Siqi Zhao,Update README.md,False
2d534078a90b9c5119a0beb296e0383cd465ae7d,2023-04-28 14:22:50,ender-zhao,Update README.md,False
f9511ba050251c3ebc6ce32993f863ef155723b3,2023-04-22 16:50:20,ender-zhao,Update issues-template-and-rules.yaml,False
8b1948143c01b24175eebb53fc4bb6d44f35f512,2023-04-22 16:48:44,ender-zhao,Update issues-template-and-rules.yaml,False
38008cc76892a244ad8ae845d8d624b1e7202c16,2023-04-14 11:39:11,ender-zhao,Update README.md,False
376cc09daeb3b75b303ff26967eba6902d2c5894,2023-04-07 16:14:18,ender-zhao,Update README.md,False
88f402a81d53ee172755de777d27ca735ba30d12,2023-03-24 15:43:22,ender-zhao,Update README.md,False
03df8f549487fb3d9911cc8503f9dc84f24b1e45,2023-03-24 15:38:03,ender-zhao,Update renderer-chinese.txt,False
843480e30ddc639b6872d5c05538ceb00d8293dd,2023-03-23 09:00:37,ender-zhao,Update README.md,False
8d567c6bc33821139bd73946193795612617c64e,2023-03-23 08:59:36,ender-zhao,Update README.md,False
d93ad16c61db9bacc99d8fbea09cda67726c3ee0,2023-03-23 08:58:01,ender-zhao,Update README.md,False
5c47b2c15bb3c83bf05230ec308eba30708bdf5a,2023-03-10 15:46:44,ender-zhao,Update renderer-chinese.txt,False
