Hash,Date,Author,Message,IsMerge
3afe4ca8a924d46d07074e46be4cab093fc4d452,2020-10-03 06:20:55,Asabeneh,some changes,False
05a9794198805c713a8391ac3ab2dd1df2e9d95d,2020-10-03 06:08:48,Asabeneh,Day_3,False
9998eac024e3f49c9f80afa00e4a8aa3982df84d,2020-10-03 06:08:48,Asabeneh,Day_3,False
d8f75fd24efa6964f3561c86c51e03bcb0f6cb11,2020-10-02 19:54:23,Asabeneh,content added to day 2,False
a0a553ab0c33cf124ca4cf8e6dd0c287d407c397,2020-10-02 19:54:23,Asabeneh,content added to day 2,False
de90f424c175d81498a3d4b51b3deac601d8f07f,2020-10-02 19:50:06,Asabeneh,content added to day 2,False
3b0292a38d27ff744d2612d42274f4fad9c00a63,2020-10-02 19:50:06,Asabeneh,content added to day 2,False
181dbb308177838f92c2defc6c57c6cdd9302029,2020-10-02 18:49:04,Asabeneh,minor fixes,False
6363fec02b54f8b9d348f2b938a2fa7cbd2df055,2020-10-02 18:49:04,Asabeneh,minor fixes,False
5020d62a899857f3f22c05794496e57cb3aab1db,2020-10-02 18:29:08,Asabeneh,restructuring,False
77299862ca518a39b25e01b03d6c11a3565a2327,2020-10-02 18:29:08,Asabeneh,restructuring,False
980e79464c5c8a03bcb952a3ed11ca079308fc49,2020-10-02 17:10:22,Asabeneh,some fixes,False
3f875f2c75dc593367a4c7e70d050ebfd2bcb913,2020-10-02 17:10:22,Asabeneh,some fixes,False
82482b4a5b3bf1a42d27bccada0fa36d4ad97416,2020-10-02 15:22:34,Asabeneh,minor changes,False
9bcd2959562be98e1a68a66b24bba030f371360f,2020-10-02 15:22:34,Asabeneh,minor changes,False
1ac573a36c5dd62355c3eff02fdb350c216cfef8,2020-10-02 13:57:52,Asabeneh,content added to day 1,False
83ecb696d0e59658b1e894a22f2e1f5a24ffaa0a,2020-10-02 13:57:52,Asabeneh,content added to day 1,False
b6cea7b693eed8c82fbbb09f863062f87650f5fc,2020-10-02 13:47:03,Asabeneh,content added to day 1,False
eb9608348863f9f82a942850b5d3fe146051a429,2020-10-02 13:47:03,Asabeneh,content added to day 1,False
81941360a6bcb6af685c28a72564a8d0a7be0ec9,2020-10-02 03:47:28,Asabeneh,image extension changed,False
d5182e0c11a400e61d3b2767bbada67e84790371,2020-10-02 03:47:28,Asabeneh,image extension changed,False
1ab87c9c6c438ef944dbfb45176a26a3a9d96b96,2020-10-02 03:32:23,Asabeneh,Delete react_repo_1_oct_2020.PNG,False
fcdc0178d30ec494e9a64adba99d5e4b548231d5,2020-10-02 03:32:23,Asabeneh,Delete react_repo_1_oct_2020.PNG,False
dcf42a1a4667844846ec15e8b4c509ccd92b39cd,2020-10-02 03:32:07,Asabeneh,Delete vue_repo_1_oct_2020.PNG,False
defea3f6be7a9252f88758dda79ac2f69c0c7afa,2020-10-02 03:32:07,Asabeneh,Delete vue_repo_1_oct_2020.PNG,False
84acb503a6b728a021e8949671eebcbf1d94e921,2020-10-02 03:29:34,Asabeneh,Day_2,False
