Hash,Date,Author,Message,IsMerge
343456d69697dd8ac73a680707a3290faea9ae12,2019-04-19 01:34:18,Jeff Friesen,"Round Infinity with a precision argument returns Infinity (#4272)

* Round Infinity with a precision argument returns Infinity

* Also making sure this is true for -Infinity
* Tested with _.round(), _.floor() and _.ceil()

* Switch to using isFinite to check if number should be rounded

* Add tests for rounding NaN now that there is an isFinite check",False
0b8592a35c4cb0ab3a7b825d1d9b37dfa1eade43,2019-03-22 09:24:53,Marc Hassan,"mergeWith: stack passed to customizer should always be defined (#4244)

Summary:
If the first values encountered in the `object` in mergeWith are not objects, `stack` is undefined when passed to the `customizer`. Once the first object-ish value is encountered, `stack` gets initialized, and all further calls to `customizer` include a defined `stack`. This PR makes `stack` always defined, even before the first object-ish value is encountered.",False
7084300d3420d2b3c45fa1e9c19dedcd2ba4b97c,2019-03-14 11:17:28,Amu,perf(toNumber): use +value to convert binary/octal/hexadecimal string (#4230),False
15b156512faa986b1787d5371af4a1ddbb28f57e,2019-02-12 12:19:02,liang feng,cancel old timer (#4139),False
bda6f2795f07d53c8a4788f23bbdd2357b1dc2b6,2018-12-05 09:56:22,John-David Dalton,Update wording of fp wiki template for method spread rule exceptions.,False
1cb18dfada50388b142cea0b17645d70782b2736,2018-11-21 21:53:00,John-David Dalton,"Revert ""Ensure _.pick paths aren't interpolated twice. [closes #3952]""

This reverts commit 39a7eae40d7b97921bca466ccb65969f0cc49332.",False
39a7eae40d7b97921bca466ccb65969f0cc49332,2018-09-18 11:08:33,John-David Dalton,Ensure _.pick paths aren't interpolated twice. [closes #3952],False
e0cbb4c8e6f58122d1afaf69f93e0d85bc5fea64,2018-09-18 11:01:34,John-David Dalton,Ensure map and set clones contain custom properties of source values. [closes #3951],False
0843bd46ef805dd03c0c8d804630804f3ba0ca3c,2018-09-12 23:14:07,John-David Dalton,Bump to v4.17.11.,False
3ac4b261e4a920a07673d49edfb84bd317f449f7,2018-09-12 23:14:01,John-David Dalton,Rebuild lodash and docs.,False
eaa9f36e912a97bfc95f6bdd28ea07e0a62b82e9,2018-09-01 04:52:41,John-David Dalton,Commit package-lock.json.,False
552f94a7db34a8036689d6aae6c67c789e4e79a6,2018-09-01 04:05:06,John-David Dalton,Lint nits.,False
d8ddc1a15f8ac3f9ac952818cc7f7b3d049b41ef,2018-09-01 04:04:45,John-David Dalton,Add test for indirectly merging `Object` properties.,False
e5f9af54189ce714f5e53084337f54e2fea1de8d,2018-09-01 03:52:17,John-David Dalton,Remove prototype property check in safeGet().,False
2de676fe76bc68fb279ac84c1c87d59511ced8cc,2018-08-31 12:27:31,John-David Dalton,Ensure placeholder properties are set for fp.convert() results. [closes #3440],False
278c6dd33dfc7040b37c7148a645416f7c97e9ea,2018-08-31 11:28:11,John-David Dalton,Cleanup _.merge tests for function properties.,False
79b9d20a912118bf06acd093071902ed972daf4e,2018-08-31 11:05:04,sina,Fix inconsistent merging of multiple sources to function property,False
